CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
500,43220,43220,"Shelton, WA","Shelton, WA Micro Area",M2,2,G3110,2484806998,237381766,+47.3541257,-123.1738498
,43260,43260,"Sheridan, WY","Sheridan, WY Micro Area",M2,2,G3110,6535475121,7986323,+44.7813692,-106.8812114
206,43300,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area",M1,1,G3110,2415995947,120112446,+33.6245240,-096.6756930
470,44900,44900,"Summerville, GA","Summerville, GA Micro Area",M2,2,G3110,811512406,570806,+34.4741785,-085.3452894
,43320,43320,"Show Low, AZ","Show Low, AZ Micro Area",M2,2,G3110,25770094249,24078111,+35.3907852,-110.3210248
,43340,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",M1,1,G3110,8257716122,324089681,+32.4906379,-093.6711914
482,44920,44920,"Summit Park, UT","Summit Park, UT Micro Area",M2,2,G3110,4844778499,26615947,+40.8720603,-110.9684862
212,43380,43380,"Sidney, OH","Sidney, OH Micro Area",M2,2,G3110,1055921780,7808224,+40.3366802,-084.2041425
,44940,44940,"Sumter, SC","Sumter, SC Metro Area",M1,1,G3110,1722537126,44054520,+33.9162531,-080.3822876
,43420,43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ Metro Area",M1,1,G3110,15966166113,137024922,+31.8401287,-109.7751627
164,43460,43460,"Sikeston, MO","Sikeston, MO Micro Area",M2,2,G3110,1087765645,15199712,+37.0477927,-089.5680975
,43500,43500,"Silver City, NM","Silver City, NM Micro Area",M2,2,G3110,10259427302,15346268,+32.7320870,-108.3815043
512,43580,43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area",M1,1,G3110,7606373502,56808444,+42.5806338,-096.3760468
,43620,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",M1,1,G3110,6670244321,27912960,+43.4954205,-096.9953387
,43660,43660,"Snyder, TX","Snyder, TX Micro Area",M2,2,G3110,2345090489,5436958,+32.7443531,-100.9133465
,43700,43700,"Somerset, KY","Somerset, KY Micro Area",M2,2,G3110,1705274742,48546459,+37.1083118,-084.5799857
306,43740,43740,"Somerset, PA","Somerset, PA Micro Area",M2,2,G3110,2782597159,17002839,+39.9812968,-079.0284859
,43760,43760,"Sonora, CA","Sonora, CA Micro Area",M2,2,G3110,5752079368,138722711,+38.0214344,-119.9647335
515,43780,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area",M1,1,G3110,2455246507,56251593,+41.7749808,-086.1230143
273,43900,43900,"Spartanburg, SC","Spartanburg, SC Metro Area",M1,1,G3110,3424370024,34016290,+34.8346199,-081.8424008
452,43940,43940,"Spearfish, SD","Spearfish, SD Micro Area",M2,2,G3110,2072127374,667509,+44.3485720,-103.8057912
,43980,43980,"Spencer, IA","Spencer, IA Micro Area",M2,2,G3110,1469139466,13866649,+43.0812244,-095.1498753
,44020,44020,"Spirit Lake, IA","Spirit Lake, IA Micro Area",M2,2,G3110,985539078,60716111,+43.3896107,-095.1960572
518,44060,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area",M1,1,G3110,14611504992,271829178,+48.1890407,-117.5732186
522,44100,44100,"Springfield, IL","Springfield, IL Metro Area",M1,1,G3110,3063280704,25218803,+39.8285650,-089.6962052
521,44140,44140,"Springfield, MA","Springfield, MA Metro Area",M1,1,G3110,2963652907,90949140,+42.2477995,-072.6320465
520,44180,44180,"Springfield, MO","Springfield, MO Metro Area",M1,1,G3110,7787763970,35845289,+37.3608699,-093.1802617
212,44220,44220,"Springfield, OH","Springfield, OH Metro Area",M1,1,G3110,1029475869,13070242,+39.9170315,-083.7836760
,44260,44260,"Starkville, MS","Starkville, MS Micro Area",M2,2,G3110,1186750731,9649656,+33.4223134,-088.8761514
524,44300,44300,"State College, PA","State College, PA Metro Area",M1,1,G3110,2874529780,8187277,+40.9091603,-077.8478297
496,44340,44340,"Statesboro, GA","Statesboro, GA Micro Area",M2,2,G3110,1743101866,40429683,+32.3917111,-081.7440210
277,44420,44420,"Staunton-Waynesboro, VA","Staunton-Waynesboro, VA Metro Area",M1,1,G3110,2594641820,10481933,+38.1609584,-079.1276321
525,44460,44460,"Steamboat Springs, CO","Steamboat Springs, CO Micro Area",M2,2,G3110,6117602774,15831744,+40.4836638,-106.9877021
,44500,44500,"Stephenville, TX","Stephenville, TX Micro Area",M2,2,G3110,2805191451,17394954,+32.2381358,-098.2223769
,44540,44540,"Sterling, CO","Sterling, CO Micro Area",M2,2,G3110,4761948002,16363553,+40.7280911,-103.0904639
221,44580,44580,"Sterling, IL","Sterling, IL Micro Area",M2,2,G3110,1772197821,31797486,+41.7505708,-089.9109567
554,44620,44620,"Stevens Point, WI","Stevens Point, WI Micro Area",M2,2,G3110,2074125052,56939082,+44.4762457,-089.4980699
,44660,44660,"Stillwater, OK","Stillwater, OK Micro Area",M2,2,G3110,1773393745,31771425,+36.0792254,-096.9752553
488,44700,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area",M1,1,G3110,3606190671,89046837,+37.9349815,-121.2722440
,44740,44740,"Storm Lake, IA","Storm Lake, IA Micro Area",M2,2,G3110,1488989049,13791660,+42.7415219,-095.1414324
310,44780,44780,"Sturgis, MI","Sturgis, MI Micro Area",M2,2,G3110,1296530601,52921099,+41.9114878,-085.5228703
146,44980,44980,"Sunbury, PA","Sunbury, PA Micro Area",M2,2,G3110,1186219234,50572294,+40.8515244,-076.7098770
,45000,45000,"Susanville, CA","Susanville, CA Micro Area",M2,2,G3110,11761615611,463426050,+40.7210862,-120.6299518
,45020,45020,"Sweetwater, TX","Sweetwater, TX Micro Area",M2,2,G3110,2362061742,5052158,+32.3123379,-100.4181078
532,45060,45060,"Syracuse, NY","Syracuse, NY Metro Area",M1,1,G3110,6176849966,1020679060,+43.0065163,-076.1961336
538,45140,45140,"Tahlequah, OK","Tahlequah, OK Micro Area",M2,2,G3110,1940958254,69624105,+35.9043668,-094.9967964
142,45180,45180,"Talladega-Sylacauga, AL","Talladega-Sylacauga, AL Micro Area",M2,2,G3110,3594102438,100918939,+33.1860858,-086.1977569
533,45220,45220,"Tallahassee, FL","Tallahassee, FL Metro Area",M1,1,G3110,6184076376,556580430,+30.3864276,-084.2804098
,45300,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,1,G3110,6512939426,2115162934,+28.1259071,-082.4652858
,45340,45340,"Taos, NM","Taos, NM Micro Area",M2,2,G3110,5704119046,3383126,+36.5765287,-105.6379865
522,45380,45380,"Taylorville, IL","Taylorville, IL Micro Area",M2,2,G3110,1837278858,16221514,+39.5455242,-089.2795927
,47180,47180,"Vincennes, IN","Vincennes, IN Micro Area",M2,2,G3110,1336511182,20758112,+38.6883910,-087.4203544
,45460,45460,"Terre Haute, IN","Terre Haute, IN Metro Area",M1,1,G3110,3794552844,51107876,+39.3923890,-087.3470958
,45500,45500,"Texarkana, TX-AR","Texarkana, TX-AR Metro Area",M1,1,G3110,5290972749,213741276,+33.4783701,-094.2071694
,45520,45520,"The Dalles, OR","The Dalles, OR Micro Area",M2,2,G3110,6167121090,35716361,+45.1645359,-121.1650693
422,45540,45540,"The Villages, FL","The Villages, FL Metro Area",M1,1,G3110,1418509811,83231177,+28.7143099,-082.0747031
122,45580,45580,"Thomaston, GA","Thomaston, GA Micro Area",M2,2,G3110,837697011,10663282,+32.8818367,-084.2922831
,45620,45620,"Thomasville, GA","Thomasville, GA Micro Area",M2,2,G3110,1410520995,19717343,+30.8646200,-083.9198124
248,45660,45660,"Tiffin, OH","Tiffin, OH Micro Area",M2,2,G3110,1427143576,4584953,+41.1199923,-083.1275469
,45700,45700,"Tifton, GA","Tifton, GA Micro Area",M2,2,G3110,675662341,20498270,+31.4570027,-083.5259307
428,47220,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area",M1,1,G3110,1251898435,503712955,+39.3284336,-075.1216277
,45740,45740,"Toccoa, GA","Toccoa, GA Micro Area",M2,2,G3110,463974775,13095267,+34.5529139,-083.2902156
534,45780,45780,"Toledo, OH","Toledo, OH Metro Area",M1,1,G3110,3531730588,673366363,+41.5443571,-083.6907772
,45820,45820,"Topeka, KS","Topeka, KS Metro Area",M1,1,G3110,8372560286,148384270,+39.0413888,-095.8026393
408,45860,45860,"Torrington, CT","Torrington, CT Micro Area",M2,2,G3110,2384058125,62393362,+41.7918833,-073.2354042
,45900,45900,"Traverse City, MI","Traverse City, MI Micro Area",M2,2,G3110,4379583231,7440169726,+44.9523239,-085.9083200
408,45940,45940,"Trenton, NJ","Trenton, NJ Metro Area",M1,1,G3110,581086519,11647674,+40.2825026,-074.7037240
,45980,45980,"Troy, AL","Troy, AL Micro Area",M2,2,G3110,1740647521,2336975,+31.7986508,-085.9416035
472,46020,46020,"Truckee-Grass Valley, CA","Truckee-Grass Valley, CA Micro Area",M2,2,G3110,2480587331,41531993,+39.2975082,-120.7713429
536,46060,46060,"Tucson, AZ","Tucson, AZ Metro Area",M1,1,G3110,23794788865,5259325,+32.1285226,-111.7830267
,46100,46100,"Tullahoma-Manchester, TN","Tullahoma-Manchester, TN Micro Area",M2,2,G3110,2881810680,72645754,+35.3030848,-086.1119048
538,46140,46140,"Tulsa, OK","Tulsa, OK Metro Area",M1,1,G3110,16238463294,493085051,+36.2541477,-096.1749760
,46180,46180,"Tupelo, MS","Tupelo, MS Micro Area",M2,2,G3110,3834436442,36678576,+34.2682708,-088.6829073
,46220,46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area",M1,1,G3110,7371842758,133627364,+33.1606112,-087.7151664
,46300,46300,"Twin Falls, ID","Twin Falls, ID Micro Area",M2,2,G3110,6524600154,31215282,+42.4403972,-114.5687294
540,46340,46340,"Tyler, TX","Tyler, TX Metro Area",M1,1,G3110,2386701635,73066272,+32.3751061,-095.2687428
,46380,46380,"Ukiah, CA","Ukiah, CA Micro Area",M2,2,G3110,9081426673,962946204,+39.4323876,-123.4428811
362,46460,46460,"Union City, TN-KY","Union City, TN-KY Micro Area",M2,2,G3110,1944521607,91518983,+36.4088231,-089.1626826
212,46500,46500,"Urbana, OH","Urbana, OH Micro Area",M2,2,G3110,1109624422,3638887,+40.1327753,-083.7676037
,46520,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area",M1,1,G3110,1555581074,4054908589,+21.4613654,-158.2019740
,46540,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area",M1,1,G3110,6795727533,237762852,+43.3322887,-075.1731690
,46620,46620,"Uvalde, TX","Uvalde, TX Micro Area",M2,2,G3110,4019521039,17320583,+29.3503081,-099.7684270
,46660,46660,"Valdosta, GA","Valdosta, GA Metro Area",M1,1,G3110,4116602812,102187062,+30.8274985,-083.2421316
488,46700,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area",M1,1,G3110,2128347201,218679972,+38.2672255,-121.9395940
194,46740,46740,"Valley, AL","Valley, AL Micro Area",M2,2,G3110,1545009122,17048126,+32.9155039,-085.3940321
338,46780,46780,"Van Wert, OH","Van Wert, OH Micro Area",M2,2,G3110,1059698928,3281853,+40.8555203,-084.5857751
512,46820,46820,"Vermillion, SD","Vermillion, SD Micro Area",M2,2,G3110,1067154414,13955950,+42.9161495,-096.9804680
,46860,46860,"Vernal, UT","Vernal, UT Micro Area",M2,2,G3110,11609319530,56115772,+40.1258872,-109.5177482
,46900,46900,"Vernon, TX","Vernon, TX Micro Area",M2,2,G3110,2514536080,18196245,+34.0849199,-099.2424397
298,46980,46980,"Vicksburg, MS","Vicksburg, MS Micro Area",M2,2,G3110,2786645441,113512128,+32.1817603,-090.8761247
