CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
466,40300,40300,"Rochelle, IL","Rochelle, IL Micro Area",M2,2,G3110,1964706940,11425029,+42.0418840,-089.3201764
466,40420,40420,"Rockford, IL","Rockford, IL Metro Area",M1,1,G3110,2056797612,18446713,+42.3311830,-089.0429139
,40460,40460,"Rockingham, NC","Rockingham, NC Micro Area",M2,2,G3110,1227593689,15572168,+35.0046360,-079.7556946
,40540,40540,"Rock Springs, WY","Rock Springs, WY Micro Area",M2,2,G3110,27005097216,166887296,+41.6603282,-108.8756774
468,40580,40580,"Rocky Mount, NC","Rocky Mount, NC Metro Area",M1,1,G3110,2708802704,9894909,+35.9410455,-077.7985494
,40620,40620,"Rolla, MO","Rolla, MO Micro Area",M2,2,G3110,1739898251,6587832,+37.8663263,-091.7903492
470,40660,40660,"Rome, GA","Rome, GA Metro Area",M1,1,G3110,1320695431,22123140,+34.2636843,-085.2136540
,40700,40700,"Roseburg, OR","Roseburg, OR Micro Area",M2,2,G3110,13042299244,252000831,+43.2863277,-123.1544760
,40740,40740,"Roswell, NM","Roswell, NM Micro Area",M2,2,G3110,15708886721,25500073,+33.3616045,-104.4698374
488,41860,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area",M1,1,G3110,6417349550,2456292707,+37.7737185,-122.2744317
,40780,40780,"Russellville, AR","Russellville, AR Micro Area",M2,2,G3110,4513757337,95469502,+35.1995857,-093.2527625
384,40820,40820,"Ruston, LA","Ruston, LA Micro Area",M2,2,G3110,1221806136,1897709,+32.6018231,-092.6623026
,40860,40860,"Rutland, VT","Rutland, VT Micro Area",M2,2,G3110,2408212536,38758591,+43.5808577,-073.0382023
472,40900,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area",M1,1,G3110,13195122787,548518656,+38.7896779,-121.0057504
364,41900,41900,"San Germán, PR","San Germán, PR Metro Area",M1,1,G3110,572747545,383926538,+18.0330687,-067.1039609
488,41940,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area",M1,1,G3110,6940965313,37831429,+36.9084718,-121.3713721
,40940,40940,"Safford, AZ","Safford, AZ Micro Area",M2,2,G3110,11972750122,47455350,+32.9318277,-109.8783103
474,40980,40980,"Saginaw, MI","Saginaw, MI Metro Area",M1,1,G3110,2073181589,40159719,+43.3282667,-084.0554100
378,41060,41060,"St. Cloud, MN","St. Cloud, MN Metro Area",M1,1,G3110,4535391479,134380882,+45.5930312,-094.4883635
,41100,41100,"St. George, UT","St. George, UT Metro Area",M1,1,G3110,6285757441,9061296,+37.2625308,-113.4878003
312,41140,41140,"St. Joseph, MO-KS","St. Joseph, MO-KS Metro Area",M1,1,G3110,4287704814,50998233,+39.8348430,-094.7837537
476,41180,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area",M1,1,G3110,20366526836,565437477,+38.7404035,-090.3459564
300,41220,41220,"St. Marys, GA","St. Marys, GA Micro Area",M2,2,G3110,1588171680,436845085,+30.9133473,-081.6420006
566,41400,41400,"Salem, OH","Salem, OH Micro Area",M2,2,G3110,1377697739,7237745,+40.7700730,-080.7784550
