CNECTAFP,NECTAFP,NCTADVFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
715,71650,71654,7165071654,"Boston-Cambridge-Newton, MA","Boston-Cambridge-Newton, MA NECTA Division",M7,G3220,3667346744,713840188,+42.2933266,-071.0181929
715,71650,72104,7165072104,"Brockton-Bridgewater-Easton, MA","Brockton-Bridgewater-Easton, MA NECTA Division",M7,G3220,352512547,8948579,+42.0368877,-071.0008676
715,71650,73104,7165073104,"Framingham, MA","Framingham, MA NECTA Division",M7,G3220,532420004,24046838,+42.2761738,-071.4822008
715,71650,73604,7165073604,"Haverhill-Newburyport-Amesbury Town, MA-NH","Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division",M7,G3220,702505983,41070117,+42.8671996,-071.0255082
715,71650,74204,7165074204,"Lawrence-Methuen Town-Salem, MA-NH","Lawrence-Methuen Town-Salem, MA-NH NECTA Division",M7,G3220,207638134,10021360,+42.7282758,-071.1630701
715,71650,74804,7165074804,"Lowell-Billerica-Chelmsford, MA-NH","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",M7,G3220,862630094,27400158,+42.6141696,-071.4837871
715,71650,74854,7165074854,"Lynn-Saugus-Marblehead, MA","Lynn-Saugus-Marblehead, MA NECTA Division",M7,G3220,77592360,96481624,+42.4680592,-070.8912602
715,71650,75404,7165075404,"Nashua, NH-MA","Nashua, NH-MA NECTA Division",M7,G3220,1395730473,22765520,+42.8294479,-071.5594868
715,71650,76524,7165076524,"Peabody-Salem-Beverly, MA","Peabody-Salem-Beverly, MA NECTA Division",M7,G3220,136944742,49219101,+42.5456237,-070.8935787
715,71650,78254,7165078254,"Taunton-Middleborough-Norton, MA","Taunton-Middleborough-Norton, MA NECTA Division",M7,G3220,777527165,49452772,+41.8624856,-071.0116902
