CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
482,44920,44920,"Summit Park, UT","Summit Park, UT Micro Area",M2,2,G3110,4844755736,26612845,+40.8720603,-110.9684862
,43320,43320,"Show Low, AZ","Show Low, AZ Micro Area",M2,2,G3110,25770082478,24078111,+35.3907852,-110.3210248
,40940,40940,"Safford, AZ","Safford, AZ Micro Area",M2,2,G3110,11972305015,47705575,+32.9318277,-109.8783103
,43420,43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ Metro Area",M1,1,G3110,15968982233,137024922,+31.8401287,-109.7751627
,43500,43500,"Silver City, NM","Silver City, NM Micro Area",M2,2,G3110,10260552064,15353565,+32.7320870,-108.3815043
525,44460,44460,"Steamboat Springs, CO","Steamboat Springs, CO Micro Area",M2,2,G3110,6117617719,15831744,+40.4836638,-106.9877021
,43260,43260,"Sheridan, WY","Sheridan, WY Micro Area",M2,2,G3110,6535552388,7986323,+44.7813692,-106.8812114
106,42140,42140,"Santa Fe, NM","Santa Fe, NM Metro Area",M1,1,G3110,4945412532,3645423,+35.5143241,-105.9657706
,40740,40740,"Roswell, NM","Roswell, NM Micro Area",M2,2,G3110,15708996045,25507630,+33.3616045,-104.4698374
452,43940,43940,"Spearfish, SD","Spearfish, SD Micro Area",M2,2,G3110,2072089202,713642,+44.3485831,-103.8058171
,42420,42420,"Scottsbluff, NE","Scottsbluff, NE Micro Area",M2,2,G3110,9200241400,17707405,+42.1633258,-103.7344731
,44540,44540,"Sterling, CO","Sterling, CO Micro Area",M2,2,G3110,4761983526,16363553,+40.7280911,-103.0904639
,41660,41660,"San Angelo, TX","San Angelo, TX Metro Area",M1,1,G3110,6665406266,48281360,+31.3653095,-100.6594181
,45020,45020,"Sweetwater, TX","Sweetwater, TX Micro Area",M2,2,G3110,2362061740,5052158,+32.3123379,-100.4181078
,41700,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",M1,1,G3110,18939886213,150518692,+29.4330599,-098.6069734
,44500,44500,"Stephenville, TX","Stephenville, TX Micro Area",M2,2,G3110,2805141640,17445013,+32.2381358,-098.2223769
,41460,41460,"Salina, KS","Salina, KS Micro Area",M2,2,G3110,3732070899,4371297,+38.9645697,-097.6633868
,43620,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",M1,1,G3110,6671079051,27077952,+43.4954205,-096.9953387
,44660,44660,"Stillwater, OK","Stillwater, OK Micro Area",M2,2,G3110,1773393744,31771425,+36.0792254,-096.9752553
416,43060,43060,"Shawnee, OK","Shawnee, OK Micro Area",M2,2,G3110,2040060547,14842439,+35.2113928,-096.9570070
206,43300,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area",M1,1,G3110,2415989108,120124595,+33.6245321,-096.6757378
512,43580,43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area",M1,1,G3110,7606652277,57004554,+42.5806338,-096.3760468
206,44860,44860,"Sulphur Springs, TX","Sulphur Springs, TX Micro Area",M2,2,G3110,1987018121,66250826,+33.1489586,-095.5651936
,44740,44740,"Storm Lake, IA","Storm Lake, IA Micro Area",M2,2,G3110,1488989044,13791664,+42.7415219,-095.1414324
,43980,43980,"Spencer, IA","Spencer, IA Micro Area",M2,2,G3110,1469139469,13866649,+43.0812244,-095.1498753
,44020,44020,"Spirit Lake, IA","Spirit Lake, IA Micro Area",M2,2,G3110,985764407,60490790,+43.3896107,-095.1960572
312,41140,41140,"St. Joseph, MO-KS","St. Joseph, MO-KS Metro Area",M1,1,G3110,4287704814,50998239,+39.8348430,-094.7837537
378,41060,41060,"St. Cloud, MN","St. Cloud, MN Metro Area",M1,1,G3110,4535657122,134115189,+45.5930312,-094.4883635
,43340,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",M1,1,G3110,8257355725,324450049,+32.4906379,-093.6711914
,42740,42740,"Sedalia, MO","Sedalia, MO Micro Area",M2,2,G3110,1766949637,10503983,+38.7273667,-093.2852073
520,44180,44180,"Springfield, MO","Springfield, MO Metro Area",M1,1,G3110,7787627619,35981602,+37.3608699,-093.1802617
384,40820,40820,"Ruston, LA","Ruston, LA Micro Area",M2,2,G3110,1221806132,1897709,+32.6018231,-092.6623026
,40620,40620,"Rolla, MO","Rolla, MO Micro Area",M2,2,G3110,1739898247,6587832,+37.8663263,-091.7903492
340,42620,42620,"Searcy, AR","Searcy, AR Micro Area",M2,2,G3110,2680883279,18261873,+35.2551175,-091.7530339
476,41180,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area",M1,1,G3110,20366579725,565384553,+38.7404035,-090.3459564
221,44580,44580,"Sterling, IL","Sterling, IL Micro Area",M2,2,G3110,1772198883,31796423,+41.7505708,-089.9109567
522,44100,44100,"Springfield, IL","Springfield, IL Metro Area",M1,1,G3110,3063280701,25218803,+39.8285650,-089.6962052
164,43460,43460,"Sikeston, MO","Sikeston, MO Micro Area",M2,2,G3110,1087765676,15199711,+37.0477927,-089.5680975
554,44620,44620,"Stevens Point, WI","Stevens Point, WI Micro Area",M2,2,G3110,2074117686,56938029,+44.4762457,-089.4980699
,44260,44260,"Starkville, MS","Starkville, MS Micro Area",M2,2,G3110,1186750731,9649656,+33.4223134,-088.8761514
267,43020,43020,"Shawano, WI","Shawano, WI Micro Area",M2,2,G3110,3239110795,61546371,+44.8515650,-088.7455190
,43100,43100,"Sheboygan, WI","Sheboygan, WI Metro Area",M1,1,G3110,1324200980,1968279272,+43.7460015,-087.7305455
,42820,42820,"Selma, AL","Selma, AL Micro Area",M2,2,G3110,2534807220,39134809,+32.3335397,-087.1143556
400,43180,43180,"Shelbyville, TN","Shelbyville, TN Micro Area",M2,2,G3110,1226717421,2983130,+35.5136604,-086.4582939
515,43780,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area",M1,1,G3110,2455267304,56251230,+41.7749808,-086.1230143
294,42980,42980,"Seymour, IN","Seymour, IN Micro Area",M2,2,G3110,1319119292,11910481,+38.9119571,-086.0425161
174,42460,42460,"Scottsboro, AL","Scottsboro, AL Micro Area",M2,2,G3110,2791663770,126657151,+34.7641140,-085.9800556
310,44780,44780,"Sturgis, MI","Sturgis, MI Micro Area",M2,2,G3110,1296553521,52912990,+41.9114878,-085.5228703
470,44900,44900,"Summerville, GA","Summerville, GA Micro Area",M2,2,G3110,811512405,570806,+34.4741785,-085.3452894
470,40660,40660,"Rome, GA","Rome, GA Metro Area",M1,1,G3110,1320694741,22123843,+34.2636769,-085.2137297
,43700,43700,"Somerset, KY","Somerset, KY Micro Area",M2,2,G3110,1705274603,48546597,+37.1083118,-084.5799857
,42300,42300,"Sault Ste. Marie, MI","Sault Ste. Marie, MI Micro Area",M2,2,G3110,4036315605,2952483920,+46.3218192,-084.5206297
212,43380,43380,"Sidney, OH","Sidney, OH Micro Area",M2,2,G3110,1055875225,7809814,+40.3366802,-084.2041425
474,40980,40980,"Saginaw, MI","Saginaw, MI Metro Area",M1,1,G3110,2073181634,40159719,+43.3282667,-084.0554100
212,44220,44220,"Springfield, OH","Springfield, OH Metro Area",M1,1,G3110,1029469370,13070242,+39.9170315,-083.7836760
314,42940,42940,"Sevierville, TN","Sevierville, TN Micro Area",M2,2,G3110,1534597705,13491682,+35.8018095,-083.5156955
273,42860,42860,"Seneca, SC","Seneca, SC Micro Area",M2,2,G3110,1622113934,122274812,+34.7487713,-083.0615427
184,41780,41780,"Sandusky, OH","Sandusky, OH Micro Area",M2,2,G3110,651628988,969639896,+41.5540061,-082.5258973
496,44340,44340,"Statesboro, GA","Statesboro, GA Micro Area",M2,2,G3110,1743037409,40494139,+32.3934083,-081.7438098
300,41220,41220,"St. Marys, GA","St. Marys, GA Micro Area",M2,2,G3110,1588171684,436849667,+30.9133473,-081.6420006
172,43140,43140,"Shelby, NC","Shelby, NC Micro Area",M2,2,G3110,1202562646,10201818,+35.3346302,-081.5571145
,42700,42700,"Sebring, FL","Sebring, FL Metro Area",M1,1,G3110,2632923680,231677932,+27.3426272,-081.3409213
496,42340,42340,"Savannah, GA","Savannah, GA Metro Area",M1,1,G3110,3477941518,587429320,+32.1091449,-081.2730939
370,42680,42680,"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL Metro Area",M1,1,G3110,1302340528,295574851,+27.7006453,-080.5747940
,44940,44940,"Sumter, SC","Sumter, SC Metro Area",M1,1,G3110,1722537600,44054050,+33.9162531,-080.3822876
,40220,40220,"Roanoke, VA","Roanoke, VA Metro Area",M1,1,G3110,4839992437,72598010,+37.2862262,-079.9469346
,40460,40460,"Rockingham, NC","Rockingham, NC Micro Area",M2,2,G3110,1227298020,15684085,+35.0046360,-079.7556946
277,44420,44420,"Staunton-Waynesboro, VA","Staunton-Waynesboro, VA Metro Area",M1,1,G3110,2595236023,10536056,+38.1609584,-079.1276321
306,43740,43740,"Somerset, PA","Somerset, PA Micro Area",M2,2,G3110,2782597179,17002814,+39.9812968,-079.0284859
450,39580,39580,"Raleigh, NC","Raleigh, NC Metro Area",M1,1,G3110,5485858939,75685838,+35.7567464,-078.4604412
524,44300,44300,"State College, PA","State College, PA Metro Area",M1,1,G3110,2874687362,7878513,+40.9091603,-077.8478297
468,40580,40580,"Rocky Mount, NC","Rocky Mount, NC Metro Area",M1,1,G3110,2708235069,9748791,+35.9410455,-077.7985494
468,40260,40260,"Roanoke Rapids, NC","Roanoke Rapids, NC Micro Area",M2,2,G3110,3265132246,54672521,+36.3205759,-077.5427565
464,40380,40380,"Rochester, NY","Rochester, NY Metro Area",M1,1,G3110,8459597611,5126899048,+43.1480380,-077.5232575
,40060,40060,"Richmond, VA","Richmond, VA Metro Area",M1,1,G3110,11852491242,327650578,+37.4634618,-077.4751772
146,42780,42780,"Selinsgrove, PA","Selinsgrove, PA Micro Area",M2,2,G3110,851462481,7173377,+40.7554068,-077.0729288
428,39740,39740,"Reading, PA","Reading, PA Metro Area",M1,1,G3110,2218040257,24252061,+40.4139565,-075.9268598
,42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",M1,1,G3110,4523197900,77170603,+41.3228806,-075.8981877
,41540,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",M1,1,G3110,5435122260,2080604052,+38.3995211,-075.4782615
,40860,40860,"Rutland, VT","Rutland, VT Micro Area",M2,2,G3110,2408211831,38758591,+43.5808577,-073.0382023
521,44140,44140,"Springfield, MA","Springfield, MA Metro Area",M1,1,G3110,2964007223,90781029,+42.2477995,-072.6320465
364,41900,41900,"San Germán, PR","San Germán, PR Metro Area",M1,1,G3110,571526281,383930969,+18.0330687,-067.1039609
434,42180,42180,"Santa Isabel, PR","Santa Isabel, PR Micro Area",M2,2,G3110,88144282,111140595,+17.9529217,-066.3875885
490,41980,41980,"San Juan-Carolina-Caguas, PR","San Juan-Carolina-Caguas, PR Metro Area",M1,1,G3110,3724178379,1458507282,+18.2946761,-066.0370968
,46620,46620,"Uvalde, TX","Uvalde, TX Micro Area",M2,2,G3110,4019519389,17321923,+29.3503081,-099.7684270
,49260,49260,"Woodward, OK","Woodward, OK Micro Area",M2,2,G3110,3217817742,9693376,+36.4256189,-099.2736609
,48660,48660,"Wichita Falls, TX","Wichita Falls, TX Metro Area",M1,1,G3110,6784779872,144176905,+33.7761441,-098.5019073
244,47420,47420,"Wahpeton, ND-MN","Wahpeton, ND-MN Micro Area",M2,2,G3110,5663688400,25518466,+46.2939501,-096.7907012
