CNECTAFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
710,710,"Augusta-Waterville, ME","Augusta-Waterville, ME Combined NECTA",M4,G3200,2446353076,208803031,+44.4316212,-069.6818912
715,715,"Boston-Worcester-Providence, MA-RI-NH-CT-ME","Boston-Worcester-Providence, MA-RI-NH-CT-ME Combined NECTA",M4,G3200,20614385767,2893108792,+42.3148525,-071.3301941
720,720,"Bridgeport-New Haven-Stamford, CT","Bridgeport-New Haven-Stamford, CT Combined NECTA",M4,G3200,4016707132,375288903,+41.3590984,-073.1286523
770,770,"Pittsfield-North Adams, MA-VT","Pittsfield-North Adams, MA-VT Combined NECTA",M4,G3200,1527118331,26160665,+42.5098689,-073.1424287
775,775,"Portland-Lewiston-South Portland, ME","Portland-Lewiston-South Portland, ME Combined NECTA",M4,G3200,5507363157,1651657229,+43.8438007,-070.2803024
790,790,"Springfield-Hartford-West Hartford, MA-CT","Springfield-Hartford-West Hartford, MA-CT Combined NECTA",M4,G3200,8559921046,220761943,+42.0291137,-072.6280365
